,date,home_team,away_team,score,odd_1,odd_N,odd_2,winner,league_season,game_url
1015,09.11.2002,Bolton,West Brom,1:1,2.06,3.20,3.57,1.0,premier-league-2002-2003,/soccer/england/premier-league-2002-2003/bolton-west-brom/GhsCB8Dl/
1016,09.11.2002,Chelsea,Birmingham,3:0,1.47,3.93,6.20,0.0,premier-league-2002-2003,/soccer/england/premier-league-2002-2003/chelsea-birmingham/rFD8ASSf/
1017,09.11.2002,Everton,Charlton,1:0,1.71,3.47,4.73,0.0,premier-league-2002-2003,/soccer/england/premier-league-2002-2003/everton-charlton/M5CC9nr1/
1018,09.11.2002,Manchester City,Manchester Utd,3:1,4.17,3.30,1.83,0.0,premier-league-2002-2003,/soccer/england/premier-league-2002-2003/manchester-city-manchester-united/21TTHAzL/
1019,09.11.2002,Middlesbrough,Liverpool,1:0,3.43,3.22,2.10,0.0,premier-league-2002-2003,/soccer/england/premier-league-2002-2003/middlesbrough-liverpool/GSBG86c7/
1020,09.11.2002,Southampton,Blackburn,1:1,2.45,3.07,2.83,1.0,premier-league-2002-2003,/soccer/england/premier-league-2002-2003/southampton-blackburn/UVFK7QCD/
1021,04.11.2002,Newcastle,Middlesbrough,2:0,1.85,3.30,4.10,0.0,premier-league-2002-2003,/soccer/england/premier-league-2002-2003/newcastle-utd-middlesbrough/KxvPIjLE/
1022,03.11.2002,Blackburn,Aston Villa,0:0,1.85,3.33,4.18,1.0,premier-league-2002-2003,/soccer/england/premier-league-2002-2003/blackburn-aston-villa/ANOQeTD1/
1023,03.11.2002,Charlton,Sunderland,1:1,2.08,3.13,3.65,1.0,premier-league-2002-2003,/soccer/england/premier-league-2002-2003/charlton-sunderland/tnuLJW58/
1024,03.11.2002,Fulham,Arsenal,0:1,3.58,3.15,2.05,2.0,premier-league-2002-2003,/soccer/england/premier-league-2002-2003/fulham-arsenal/GOVHckqk/
1025,03.11.2002,Leeds,Everton,0:1,1.80,3.43,4.43,2.0,premier-league-2002-2003,/soccer/england/premier-league-2002-2003/leeds-everton/lENUfmT7/
1026,03.11.2002,Tottenham,Chelsea,0:0,2.63,3.00,2.72,1.0,premier-league-2002-2003,/soccer/england/premier-league-2002-2003/tottenham-chelsea/SbZLd9be/
1027,02.11.2002,Birmingham,Bolton,3:1,1.99,3.20,3.78,0.0,premier-league-2002-2003,/soccer/england/premier-league-2002-2003/birmingham-bolton/K8SU4XjF/
1028,02.11.2002,Liverpool,West Ham,2:0,1.38,4.37,7.96,0.0,premier-league-2002-2003,/soccer/england/premier-league-2002-2003/liverpool-west-ham/baRY3i6L/
1029,02.11.2002,Manchester Utd,Southampton,2:1,1.35,4.60,8.10,0.0,premier-league-2002-2003,/soccer/england/premier-league-2002-2003/manchester-united-southampton/GzMw3BLR/
